SearchName,PreferredFoot
Mauricio Molina,Left
Jesus Gamez~Jesús Gámez,Right
Rolando,Right
Ben Foster,Left
John Obi Mikel,Right
Brad Guzan,Left
Michu,Left
Nicolas Pareja~Nicolás Pareja,Right
Erik Lamela,Left
Kazenga LuaLua,Right
Coke,Right
Varela,Right
Davide Astori,Left
Vasiliy Berezutskiy,Right
Hector Moreno~Héctor Moreno,Left
Adrian~Adrián,Right
Nacer Barazite,Right
Rochina,Left
Andre Ayew~André Ayew,Left
Lucas Wilchez~Lucas Wílchez,Left
Bryan Ruiz~Bryan Ruíz,Left
Jorge Correa,Left
Gokhan Unal~Gökhan Ünal,Right
Manuel da Costa,Right
Marcos Paulo,Right
Etienne Capoue,Right
Pablo Daniel Osvaldo,Right
Seamus Coleman~Séamus Coleman,Right
Georginio Wijnaldum,Right
Roberto,Right
Jordan Henderson,Right
Pablo Piatti,Left
Kyriakos Papadopoulos,Right
Daniel Villalva,Right
Juan Cazares,Right
Luis Valenzuela,Right
Mikel San Jose~Mikel San José,Right
Andrea Poli,Right
Kieran Gibbs,Left
Yann M'Vila,Right
Milovan Mirosevic~Milovan Miroševic,Right
Mame Diouf,Right
Camacho,Right
Senad Lulic~Senad Lulic,Right
Iain Vigurs,Left
Taison,Right
Stefan Reinartz,Right
De Marcos,Right
Gokhan Tore~Gökhan Töre,Left
Yuriy Zhirkov,Left
Oliver Baumann,Right
Michail Antonio,Right
Arribas,Right
Stefan de Vrij,Right
Pierre-Michel Lasogga,Right
Alex Oxlade-Chamberlain,Right
Lacina Traore~Lacina Traoré,Left
Ayanda Patosi,Right
Cristian Tello,Right
Juan Jesus,Left
Rafinha,Left
Sebastian Ubilla~Sebastián Ubilla,Right
Stefan Savic~Stefan Savic,Right
Alberto Moreno,Left
William Carvalho,Right
Juan Fernando Quintero,Left
Lazar Markovic~Lazar Markovic,Right
Pedro Franco,Right
Jose Callejon~José Callejón,Right
James Milner,Right
Goran Pandev,Left
Mauro Cejas,Right
Radja Nainggolan,Right
Salomon Kalou,Right
Jay Emmanuel-Thomas,Left
Emmanuel Ledesma,Left
Andrea Consigli,Right
Gylfi Sigurðsson,Right
Danilo,Right
Glen Johnson,Right
Shaun Maloney,Right
Albin Ekdal,Right
Florian Kainz,Right
Ronny,Left
Domenico Criscito,Left
Alan,Right
Ricardo van Rhijn,Right
Thulani Serero,Right
Raphael Guerreiro~Raphaël Guerreiro,Left
Yannick Bolasie,Right
Carlos Eduardo,Right
Andres Andrade~Andrés Andrade,Right
Maarten Stekelenburg,Right
Ricardo Carvalho,Right
Seydou Keita,Left
Sylvain Distin,Left
Alexandr Kokorin,Right
Philippe Mexes~Philippe Mexès,Right
Yura Movsisyan,Right
Emilio Renteria~Emilio Rentería,Right
Stewart Downing,Left
Jean Francois Gillet,Left
Gurpegi,Right
Stephan Lichtsteiner,Right
Mustapha Carayol,Right
Oscar~Óscar,Right
David Navarro,Right
Reyes,Left
Patrick Ebert,Right
Jermaine Jones,Right
Ersan Adem Gulum~Ersan Adem Gülüm,Left
Lorik Cana,Right
Anders Lindegaard,Right
Javier Cortes~Javier Cortés,Right
Daniel Baier,Right
Giampaolo Pazzini,Right
Kossi Agassa,Right
Ruben Amorim,Right
Diego Castro,Right
Joaozinho~Joãozinho,Left
Oussama Tannane,Left
Terell Ondaan,Right
Hilton,Right
Pione Sisto,Right
Markel Bergara,Right
Aras Ozbiliz~Aras Özbiliz,Left
Mathieu Flamini,Right
Jose Villareal,Left
Daigo Kobayashi,Right
Lucas Biglia,Right
Trashorras,Right
David Abraham,Right
Agirretxe,Right
Sinan Bolat,Right
Jeremy Clement~Jérémy Clément,Left
John Ruddy,Right
Stephane Sessegnon~Stéphane Sessègnon,Right
Graziano Pelle~Graziano Pellè,Right
Marcell Jansen,Left
Mark Mayambela,Left
Itumeleng Khune,Right
Ezequiel Scarione,Right
Adam Johnson,Left
Jonathan,Right
Patrick Helmes,Right
Emiliano Viviano,Left
Javad Nekounam,Right
Ryan Shawcross,Right
Jose Enrique~José Enrique,Left
Diego Capel,Left
Caner Erkin,Left
Andres Guardado~Andrés Guardado,Left
Carlos Martinez~Carlos Martínez,Right
Luca Cigarini,Right
Siqueira,Left
Cristian Ansaldi,Left
Mevlut Erdinc~Mevlüt Erdinç,Right
David Ospina,Right
Kim Kallstrom~Kim Källström,Left
Marcus Berg,Right
Augusto Fernandez~Augusto Fernández,Right
Bojan,Right
Sergey Ignashevich,Right
Benoit Tremoulinas~Benoît Trémoulinas,Left
Cristian Zapata,Right
Granero,Right
Milan Bisevac~Milan Biševac,Right
Marko Marin,Right
Didier Ya Konan,Right
Ralf Fahrmann~Ralf Fährmann,Right
Andreas Granqvist,Right
Andrea Ranocchia,Right
